epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s
73,291900,392.418064,391.454663,-647.677212,644.3007,644.2669,11975.1787,11944.6508,0.0000,0.0000,,,0,0,292000,57.1
74,295900,369.427167,369.297887,-658.864094,655.9878,655.9894,12057.1204,10323.6990,0.0000,0.0000,,,0,0,296000,57.9
75,299900,,,,,,,,,,,,0,0,300000,58.6
76,303900,364.938595,362.976217,-669.449827,667.1560,667.1627,12279.0266,11325.6878,0.0000,0.0000,117383.57,1001.0,100,44,304000,59.4
77,307900,562.924279,564.105498,-684.046577,680.4614,680.4880,21233.6101,21866.2558,0.0000,0.0000,,,0,0,308000,60.2
78,311900,581.072234,582.068615,-695.529629,692.4895,692.4774,18324.3967,16160.2334,0.0000,0.0000,,,0,0,312000,61.0
79,315900,563.955713,565.873841,-708.182856,704.1128,704.1108,14927.7539,15276.3988,0.0000,0.0000,,,0,0,316000,61.8
80,319900,,,,,,,,,,,,0,0,320000,62.4
81,323900,447.719864,449.675581,-720.163066,716.9788,716.9879,12054.3043,12220.9694,0.0000,0.0000,,,0,0,324000,63.3
82,327900,593.790765,592.104623,-730.760366,727.5911,727.5395,27261.4907,26235.4350,0.0000,0.0000,,,0,0,328000,64.2
83,331900,578.156789,574.931890,-743.428337,740.4706,740.5360,21109.0472,20957.4419,0.0000,0.0000,,,0,0,332000,65.0
84,335900,505.815962,507.006258,-757.212583,754.1896,754.1652,15794.4504,15626.5307,0.0000,0.0000,,,0,0,336000,65.8
85,339900,,,,,,,,,,,,0,0,340000,66.4
86,343900,539.324644,537.435234,-767.375005,764.6229,764.6391,18034.4846,16813.6864,0.0000,0.0000,,,0,0,344000,67.2
87,347900,617.687685,616.517149,-781.366050,776.8232,776.8094,16739.3502,14845.0383,0.0000,0.0000,,,0,0,348000,68.0
88,351900,738.155499,743.271390,-793.973328,790.2583,790.2569,21067.7602,23273.7898,0.0000,0.0000,,,0,0,352000,68.9
89,355900,585.355530,585.877819,-806.409065,802.1590,802.1710,22871.7441,22842.2850,0.0000,0.0000,,,0,0,356000,69.7
90,359900,,,,,,,,,,,,0,0,360000,70.4
91,363900,780.344047,780.998199,-815.524546,812.6308,812.6276,22499.6302,22142.7807,0.0000,0.0000,,,0,0,364000,71.2
92,367900,612.687479,611.770554,-831.942327,827.0939,827.0924,18659.8519,18740.5944,0.0000,0.0000,,,0,0,368000,72.0
93,371900,719.531685,719.841142,-843.499231,838.2142,838.2241,15210.1454,15597.8835,0.0000,0.0000,,,0,0,372000,72.8
94,375900,705.293616,705.188163,-855.047339,849.7713,849.7570,15665.6541,16290.1081,0.0000,0.0000,,,0,0,376000,73.7
95,379900,,,,,,,,,,,,0,0,380000,74.3
96,383900,613.586363,619.078161,-866.125188,863.1763,863.1653,13951.6764,13994.1569,0.0000,0.0000,,,0,0,384000,75.1
97,387900,790.818378,789.701595,-877.224622,873.4279,873.4407,23680.8709,21196.9447,0.0000,0.0000,,,0,0,388000,75.9
98,391900,579.786691,580.713698,-891.701919,887.1242,887.0965,21294.6925,17366.3131,0.0000,0.0000,,,0,0,392000,76.7
99,395900,679.201162,676.993317,-904.304990,899.4018,899.4038,26816.1558,24772.8959,0.0000,0.0000,,,0,0,396000,77.5
100,399900,,,,,,,,,,,,0,0,400000,78.2
101,403900,844.825631,841.543285,-915.270818,910.0915,910.0793,43494.4346,42305.0928,0.0000,0.0000,117387.52,1001.0,100,57,404000,79.0
102,407900,974.090654,978.190876,-926.925071,921.6582,921.6633,30319.3903,32424.8946,0.0000,0.0000,,,0,0,408000,79.8
103,411900,1024.943397,1013.911255,-938.048359,932.7483,932.7372,26713.8405,25337.8591,0.0000,0.0000,,,0,0,412000,80.6
104,415900,1233.211382,1235.683925,-951.569443,946.2483,946.2795,29785.7280,28567.6081,0.0000,0.0000,,,0,0,416000,81.4
105,419900,,,,,,,,,,,,0,0,420000,82.1
106,423900,1115.016592,1119.985486,-959.891562,956.7129,956.7195,20090.9961,21090.4039,0.0000,0.0000,,,0,0,424000,82.9
107,427900,689.048330,684.328942,-975.920972,970.2477,970.2395,17065.9338,16456.3416,0.0000,0.0000,,,0,0,428000,83.7
108,431900,885.582393,885.918503,-984.346958,980.6682,980.6969,17306.8585,18686.7205,0.0000,0.0000,,,0,0,432000,84.5
109,435900,999.077674,1003.793670,-998.305032,993.2885,993.2646,23895.3569,24471.8541,0.0000,0.0000,,,0,0,436000,85.3
110,439900,,,,,,,,,,,,0,0,440000,86.0
111,443900,944.033843,943.197687,-1009.604639,1005.1545,1005.1676,24086.8598,24390.1429,0.0000,0.0000,,,0,0,444000,86.8
112,447900,1206.574358,1203.764851,-1021.347471,1016.4857,1016.4882,32322.5237,31980.3317,0.0000,0.0000,,,0,0,448000,87.6
113,451900,834.292869,834.404648,-1035.387407,1027.7776,1027.7504,42378.0714,42261.6918,0.0000,0.0000,,,0,0,452000,88.4
114,455900,1141.642974,1141.372737,-1046.555854,1039.8280,1039.8502,22412.6503,19354.4531,0.0000,0.0000,,,0,0,456000,89.3
115,459900,,,,,,,,,,,,0,0,460000,89.9
116,463900,1053.486787,1050.595988,-1057.067690,1051.4998,1051.5013,32982.9379,32284.4927,0.0000,0.0000,,,0,0,464000,90.7
117,467900,1058.068971,1060.535165,-1067.539204,1062.7346,1062.7386,18771.0095,18477.2249,0.0000,0.0000,,,0,0,468000,91.6
118,471900,1060.281346,1050.888526,-1079.902910,1075.0499,1075.0577,21229.3129,21851.2773,0.0000,0.0000,,,0,0,472000,92.4
119,475900,1328.510318,1325.343637,-1091.277861,1087.2405,1087.2641,28172.6534,28036.3427,0.0000,0.0001,,,0,0,476000,93.2
120,479900,,,,,,,,,,,,0,0,480000,93.9
121,483900,1076.129745,1077.766727,-1104.794683,1098.2339,1098.2248,34236.4157,33724.8549,0.0000,0.0010,,,0,0,484000,94.7
122,487900,991.303763,983.127794,-1115.552114,1110.7054,1110.7037,40199.4895,38645.0809,0.0000,1.2538,,,0,0,488000,95.5
123,491900,953.560721,981.364492,-1129.348647,1124.0319,1124.0230,32078.6740,35124.5053,0.0000,0.0000,,,0,0,492000,96.4
124,495900,1452.208044,1465.030841,-1137.739912,1132.7265,1132.6872,32199.9663,36284.3736,0.0000,0.0000,,,0,0,496000,97.2
125,499900,,,,,,,,,,,,0,0,500000,97.9
