epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s
192,767900,313.890795,308.357527,-101.535023,95.8149,95.8256,1018.0387,942.5635,1.8621,0.1623,240.46,28.0,144,77,768000,115.9
193,771900,311.127534,307.514671,-101.989262,96.2223,96.1865,875.3497,769.5349,1.6729,0.1963,244.21,28.4,141,76,772000,116.5
194,775900,311.143965,305.717524,-102.562839,96.7128,96.7123,756.9637,709.6498,1.5152,0.2472,249.74,29.0,136,77,776000,117.1
195,779900,,,,,,,,,,244.86,28.5,143,69,780000,117.3
196,783900,314.905844,311.383184,-103.044221,97.1705,97.1607,758.5487,701.3894,1.7565,0.2058,237.30,27.7,145,84,784000,118.0
197,787900,314.588256,310.143460,-103.711012,97.6448,97.6345,795.3847,733.2451,1.4201,0.1859,247.54,28.8,136,61,788000,118.7
198,791900,316.724403,311.074236,-103.698495,97.9007,97.8951,818.3883,761.0281,1.7820,0.1925,231.26,27.0,145,70,792000,119.3
199,795900,323.978108,318.498492,-104.166003,98.2420,98.2434,998.9651,949.1906,1.6501,0.1669,250.51,29.1,136,66,796000,120.0
200,799900,,,,,,,,,,265.31,30.7,133,71,800000,120.2
201,803900,318.373234,312.586890,-104.650306,98.7721,98.7602,940.5038,888.9496,1.6740,0.1481,243.67,28.4,150,69,804000,120.9
202,807900,321.162573,315.583513,-105.107161,99.3085,99.2957,904.6561,870.8664,1.6921,0.1602,243.13,28.3,132,65,808000,121.6
203,811900,318.260055,313.235995,-105.379226,99.3252,99.3366,909.5252,883.0565,1.6920,0.2230,248.42,28.9,148,71,812000,122.3
204,815900,328.593612,322.251790,-105.565171,99.8161,99.7886,807.9407,752.3009,2.2730,0.1783,243.50,28.3,138,70,816000,123.0
205,819900,,,,,,,,,,267.76,30.9,133,64,820000,123.2
206,823900,327.987285,321.333233,-105.931690,100.1830,100.1764,993.9640,949.2123,1.6763,0.1391,239.75,28.0,138,73,824000,123.9
207,827900,323.073235,315.631523,-106.806180,100.4515,100.4565,943.9963,856.2012,1.6060,0.1861,250.63,29.1,135,70,828000,124.6
208,831900,329.831953,322.621329,-107.024572,101.1844,101.1696,904.5749,866.7697,1.3813,0.1913,250.12,29.1,136,63,832000,125.4
209,835900,325.954491,320.599537,-107.379404,101.3480,101.3376,891.7520,852.2934,1.8425,0.1778,255.39,29.6,138,75,836000,126.0
210,839900,,,,,,,,,,241.43,28.1,136,68,840000,126.3
211,843900,333.856788,327.236409,-107.717301,101.7291,101.7237,1069.9716,974.3865,1.6497,0.1226,256.99,29.8,136,67,844000,127.0
212,847900,330.996520,325.155434,-108.101535,102.0514,102.0552,1046.8216,989.4559,1.5454,0.1660,254.68,29.5,138,66,848000,127.8
